"ID","شناسه"
"Order #","شماره‌ی سفارش"
"Authority Key","کلید اعتبار"
"Transaction Status","وضعیت تراکنش"
"Verification Status","وضعیت تایید"
"Reversal Status","وضعیت برگشت"
"Mellat Gateway Report","گزارش گذرگاه ملت"
"Your payment has been successfully processed by our shop system.","پرداخت شما توسط سیستم فروش ما با موفقیت انجام شد."
"Please click <a href='%s'>here</a> if you are not redirected automatically.","اگر شما به صورت خودکار هدایت نشدید، لطفا <a href='%s'>اینجا</a> را کلیک کنید."
"Mellat Online Payment","پرداخت آنلاین ملت"
"Payment was holded to pin payment request from Mellat gateway.","پرداخت جهت درخواست اتصال پرداخت از گذرگاه ملت، به حالت تعلیق درآمد."
"Customer was redirected to Mellat Bank.","مشتری به زرین پال هدایت شده است."
"An error occurred before redirection to Mellat Bank gateway.","پیش از هدایت به گذرگاه زرین پال خطایی رخ داد."
"Payment was canceled because couldn\'t get proper authority key from Mellat Bank gateway.<li>Status: %s</li>","پرداخت به دلیل ناتوانی در دریافت کلید اعتبار مناسب از گذرگاه زرین پال، لغو شد. <li>وضعیت:  %s</li>"
"Payment was canceled because of authority failure.","پرداخت به دلیل خطای اعتبارسنجی لغو شد."
"Transaction response check: An error occurred in transaction.","بررسی پاسخ تراکنش: خطایی در تراکنش رخ داده است."
"Transaction response: An unknown error occurred in transaction.","پاسخ تراکنش: خطای نامشخصی در تراکنش رخ داده است."
"The order has been canceled.","سفارش لغو شده است."
"Transaction for Mellat payment is not valid.","تراکنش برای پرداخت ملت معتبر نیست."
"Transaction was not successful. Status: %s","تراکنش موفق نبود. وضعیت: %s"
"Order was canceled because couldn\'t connect to Mellat Bank gateway to verify transaction.","سفارش به دلیل عدم توانای در اتصال به گذرگاه زرین پال برای تایید کردن تراکنش، لغو شد."
"Transaction reverse requested. Status: %s","برگشت تراکنش درخواست شد. وضعیت: %s"
"Error in payment transaction verification. Status: %s","خطا در تایید تراکنش پرداخت. وضعیت: %s"
"Customer payment was successful.","پرداخت مشتری موفق بود."
"Payment was canceled.","پرداخت لغو شد."
"Successful","موفقیت آمیز"
"Pre Request","پیش از درخواست"
"Access Violation","تخلف دسترسی"
"Merchant Authentication Failed","ناموفق در تصدیق فروشنده"
"Sale Is Already Done Successfully","فروش با موفقیت انجام شده است."
"Invalid Merchant Order","سفارش فروشنده‌ی نامعتبر"
"Undecided Status","وضعیت بلاتکلیف"
"%s is not registered.","%s ثبت نشده است."
"%s save error. Please try again later.","خطای ذخیره سازی %s. لطفا بعدا دوباره تلاش کنید."
"Serial Number","شماره سریال"
" or registration information for"," یا اطلاعات ثبت برای"
" is not valid. Please check them or %s"," معتبر نیست. لطفا آن‌ها را بررسی کنید یا %s"
"contact us.","با ما تماس بگیرید."
"%s is required.","%s الزامی است."
"%s is not valid.","%s معتبر نیست."
"Authority: %s","تصدیق: %s"
"You will be redirected to ZarinPal Gateway when you place an order.","هنگامی که شما سفارشی بدهید به درگاه زرین پال هدایت خواهید شد."
"You will be redirected to ZarinPal Gateway in a few seconds.","شما در چند ثانیه به درگاه زرین پال هدایت خواهید شد."
"You will be redirected to Zarinpal Gateway.","شما به درگاه زرین پال هدایت خواهید شد."
"Error occurred","رخ داد خطا"
"Please <a href='%s'>continue shopping</a>.","لطفا <a href='%s'>به خرید ادامه دهید</a>."
"Payment Methods","روش‌های پرداخت"
"Account Information","اطلاعات حساب"
"Merchant Code (Pin)","شناسه‌ی فروشنده"
"Settings","تنظیمات"
"Enabled","ممکن‌شده"
"Title","عنوان"
"Payment from Applicable Countries","پرداخت از کشورهای مناسب"
"Payment from Specific Countries","پرداخت از کشورهای خاص"
"Extension Registration","ثبت اکستنشن"
"Mellat Online Payment Registration","ثبت پرداخت آنلاین ملت"
"Activation","فعال سازی"
"Registration Code","کد ثبت"
"Full Name","نام کامل"
"Email Address","آدرس ایمیل"
"CODNITIVE Payment Methods Section","بخش روش‌های پرداخت CODNITIVE"
"CODNITIVE Registration Section","بخش ثبت CODNITIVE"
"Registration","ثبت"
"Report","گزارش"
"Configuration","پیکربندی"
"Yes","بله"
"No","خیر"
"All Allowed Countries","همه‌ی کشورهای مجاز"
"Specific Countries","کشورهای خاص"
"Show Sum","نمایش مجموع"
"Please select transaction(s).","لطفا تراکنش(ها) را انتخاب کنید."
"Total transactions: %d","تعداد تراکنش‌ها: %d"
"Total transactions amount is: %s","مجموع تراکنش‌ها هست: %s"
"Payment was successful.","پرداخت موفقیت آمیز بود."
"Reference ID: %s","شناسه‌ی ارجاع: %s"
"Sale Reference ID: %s","شناسه‌ی ارجاع فروش: %s"
"Invalid Card Number","شماره کارت نامعتبر"
"Insufficient Inventory","موجودی ناکافی"
"Invalid Password","گذرواژه نامعتبر"
"Enter Password Times Is Excessive","تعداد دفعات وارد کردن گذرواژه بیش از حد مجاز"
"Invalid Card","کارت نامعتبر"
"Cash Withdrawal Times Is Excessive","دفعات برداشت وجه بيش از حد مجاز"
"Payment Was Canceled by User","پرداخت توسط کاربر لغو شد"
"Card Expiration Date Is Expired","تاریخ انقضای کارت گذشته است"
"Withdrawal Amount is Excessive","مبلغ برداشت وجه بيش از حد مجاز"
"Invalid Card Issuer","صادر كننده كارت نامعتبر"
"Card Issuer Switch Error","خطای سوییچ صادر کننده‌ی کارت"
"No Response Received from Card Issuer","پاسخی از صادر کننده‌ی کارت دریافت نشد"
"Card Holder Can't Do This Transaction","دارنده كارت مجاز به انجام اين تراكنش نيست"
"Invalid Merchant","پذیرنده‌ی نامعتبر"
"Security Error Occurred","رخ داد خطای امنیتی"
"Invalid Merchant User Info","اطلاعات كاربري پذيرنده نامعتبر است"
"Invalid Amount","مبلغ نامعتبر"
"Invalid Response","پاسخ نامعتبر"
"Input Information Format is not Correct","فرمت اطلاعات وارد شده صحيح نمي باشد"
"Invalid Account","حساب نامعتبر"
"System Error","خطای سیستمی"
"Invalid Date","تاریخ نامعتبر"
"Duplicate Request Number","شماره درخواست تکراری"
"Sale Transaction not Found","تراکنش فروش یافت نشد"
"Duplicate Verify Request","درخواست تایید تکراری"
"Verify Request not Found","درخواست تایید یافت نشد"
"Transaction Settled","تراکنش واریز شده است"
"Transaction no Settled","تراکنش واریز نشده است"
"Transaction Settle not Found","تراکنش واریز یافت نشد"
"Transaction Reversed","تراکنش برگشت خورده است"
"Refund Transaction not Found","تراکنش برگشت یافت نشد"
"Invalid Bill Number","شناسه قبض نامعتبر"
"Invalid Payment Number","شناسه پرداخت نامعتبر"
"Invalid Bill Issuer Organization","سازمان صادر کننده قبض نامعتبر"
"Session Expired","نشست به پایان رسیده است"
"Information Record Error","خطای ثبت اطلاعاتs"
"Invalid Payer ID","شناسه پرداخت کننده نامعتبر"
"Customer Info Definition Error","خطای تعریف اطلاعات مشتری"
"Enter Information Times Is Excessive","تعداد دفعات ورود اطلاعات از حد مجاز گذشته است"
"Invalid IP","IP نامعتبر"
"Duplicate Transaction","تراکنش تکراری"
"Source Transaction not Exists","تراکنش مرجع موجود نیست"
"Invalid Transaction","تراکنش نامعتبر"
"Settle Error","خطای واریز"
"Payment verification failure.","شکست در تایید پرداخت."
"Status: %s","وضعیت: %s"
"Payment has not been processed yet.","پرداخت هنوز پردازش نشده است."
"Payment request failure.","شکست درخواست پرداخت."
"Payment has not been completed yet.","پرداخت هنوز کامل نشده است."
"Payment failure.","خطای پرداخت."
"Payment canceled.","پرداخت لغو شد."
"Payment has not been verified yet.","پرداخت هنوز تایید نشده است."
"Payment has not been settled yet.","پرداخت هنوز واریز نشده است."
"Payment settle request failure.","شکست در درخواست واریز پرداخت."
"Payment reverse request failure.","شکست در درخواست برگشت پرداخت."
"Payment reversed successfully.","پرداخت با موفقیت برگشت خورد."
"Payment Settlement","تسویه پرداخت"
"Ajax connection problem.","اشکال در اتصال Ajax"
"Terminal ID","شناسه‌ی پایانه"
"Payment is pending because of authority failure.","به دلیل خطای اعتبارسنجی پرداخت در حال انتظار است."
"This order has payment info","اطلاعات پرداخت برای این سفارش ثبت شده است"
"Order #: %s","سفارش شماره: %s"
